"","gene","interaction_F","interaction_p","male_age_beta","male_p","male_n","female_age_beta","female_p","female_n","overall_age_beta","overall_p","overall_n"
"1120","TNRC6C",0.0293960226633624,0.86396389695787,-0.000107395086641692,0.590288592004478,153,-0.000162710551192614,0.482183471503599,212,-0.00015681736729393,0.32647779909079,365
"1121","NCDN",2.25215923653596,0.134302195164859,-0.000401630049356886,0.0255303655637326,153,-6.88243545503766e-05,0.616125453884472,212,-0.000206798882000724,0.058575682595838,365
"1122","ERLIN1",0.528560175088509,0.467684007335114,-6.13684698337813e-05,0.70994983926201,153,-0.000229246349211953,0.140183942896502,212,-0.00016747720948889,0.141092975303743,365
"1123","SPHK2",0.0281028811513708,0.8669610482587,0.000130173172516563,0.543721483008777,153,0.000174196548657644,0.278502352793632,212,0.000156126409528798,0.22563133036011,365
"1124","PTCD1",0.00451088366637438,0.946489032378224,-0.000205955404115072,0.419974318852123,153,-0.000185699734495031,0.297841626004333,212,-0.000191901839079307,0.19481555341886,365
"1125","TOM1L2",0.687015707890515,0.407728992865934,-0.00016917966617813,0.28649272235374,153,1.12106943793748e-05,0.938167119448813,212,-6.52187984278207e-05,0.541667760721989,365
"1126","GCNT1",0.0353962227456433,0.850873525773328,0.000404980518173911,0.0683137992461471,153,0.000350778861032939,0.0589323131787603,212,0.000364428773232877,0.0104440575662699,365
"1127","CD79A",2.56005111858668,0.110469790886079,-0.000507201773133509,0.0911444086355773,153,0.000100368467321499,0.674782054927128,212,-0.000157965855203698,0.399188502536752,365
"1128","POLR1B",0.112786615402221,0.737188746914494,-3.34048768993615e-05,0.855014628443753,153,3.87714633220605e-05,0.758737210068193,212,1.35152901876517e-05,0.898071225676971,365
"1129","GZMM",1.16938876063436,0.280248716407665,6.52204264805126e-05,0.8198058781005,153,-0.000328209180972623,0.153036279116424,212,-0.000158080896415759,0.377579093788903,365
"1130","FANCA",0.109567903416006,0.740828657617385,-0.00011553313949461,0.531025390995721,153,-3.30226475635764e-05,0.840379285570265,212,-6.88969788077071e-05,0.573064479846919,365
"1131","SLC37A2",0.251577287639229,0.616272382533919,0.000290922828063601,0.0633836973221984,153,0.00042783295779717,0.0342296046880293,212,0.000360469919471691,0.00774881849758667,365
"1132","FAM71D",0.0192551940007701,0.889714739018535,-0.00022723947756154,0.307808810267275,153,-0.000184859217085514,0.362356126608335,212,-0.000198313565810316,0.186048496537338,365
"1133","RCL1",1.20577174561498,0.272902981016354,4.13444738732672e-05,0.723625928469121,153,-0.000146904583111171,0.213698691860082,212,-7.52715611195707e-05,0.373077360701875,365
"1134","XPNPEP3",1.05826961447206,0.304298935488749,0.000302962266924168,0.151132449583698,153,4.82524969649132e-05,0.740404274460548,212,0.000151192631252806,0.214012468877693,365
"1135","IER3",10.8344101822898,0.00109461373752388,0.0078390298647968,3.9880498687715e-05,153,-8.87374050358747e-05,0.954091544302198,212,0.00312031906039014,0.00956848120598727,365
"1136","NET1",1.28344060317104,0.258012147134849,-0.000102847702032615,0.83067839244798,153,0.000581477544355469,0.123961597169103,212,0.000301449044119793,0.309802871009439,365
"1137","EIF4E3",0.168437345262711,0.681747810471471,0.000124240857015938,0.71103933429405,153,-5.24542088234561e-05,0.847800963983297,212,2.26751073957842e-05,0.914464226389336,365
"1138","PRF1",2.78518512089351,0.0960066716036914,0.00453666377011905,0.00377598648520772,153,0.00133372808575335,0.261883077391568,212,0.00271485465214932,0.00445848502707775,365
